Price,Close,High,Low,Open,Volume
Ticker,C,C,C,C,C
Date,,,,,
2015-02-20,38.80390930175781,38.901332047512916,37.73976327133251,38.256847951911105,19429400
2015-02-23,38.45919418334961,38.624063039895,38.03203656296667,38.616567441652144,15282600
2015-02-24,38.89384841918945,39.19360660588168,38.51165294333538,38.534134021185665,20250900
2015-02-25,39.03623580932617,39.05122414841755,38.63155923005897,38.70650092551588,10666000
2015-02-26,39.276039123535156,39.33599247319374,38.90133926436816,38.991266430122984,16358100
2015-02-27,39.28351974487305,39.62075008584266,39.096169873082395,39.20858093964966,18588400
2015-03-02,40.085384368896484,40.107865441264764,39.00624715549916,39.283524196727086,19384200
2015-03-03,40.26523208618164,40.46757028063265,40.040412823035645,40.42260528451063,24281900
2015-03-04,40.22026443481445,40.36265215043471,39.898025322775595,40.07787957792603,14698100
2015-03-05,40.13784408569336,40.26524064702696,39.83059036036407,40.2502523117996,13853800
2015-03-06,39.76313781738281,40.475065043190654,39.665715083608156,40.28022243437351,40296600
2015-03-09,39.680721282958984,39.845587300426594,39.54582908583693,39.628263523937456,17542600
2015-03-10,38.391727447509766,39.193584504305996,38.391727447509766,39.021223000939024,29061300
2015-03-11,39.2160758972168,39.53831504141907,38.609061293349924,38.68400009735378,32443600
2015-03-12,40.527530670166016,41.00714594410578,40.05540813418607,40.46757733155728,50191200
2015-03-13,40.122859954833984,40.647440307830415,39.91302609839565,40.392644299731174,20780600
2015-03-16,40.235267639160156,40.49755924141622,40.01794390541221,40.27273991000595,17031600
2015-03-17,40.3476676940918,40.460078758404876,39.8380758243415,39.87554522620182,13902900
2015-03-18,40.25774383544922,40.422609788803555,39.84557180523251,40.03292168851925,18383700
2015-03-19,39.253543853759766,40.182797567610386,39.118651724534345,40.14532816698822,21150000
2015-03-20,39.70317840576172,39.84556325737091,39.2760209922024,39.29850205857971,22466200
2015-03-23,39.3284912109375,39.75564876016899,39.3284912109375,39.740660424912996,13148900
2015-03-24,38.92381286621094,39.298512653420744,38.92381286621094,39.23106657737368,12887700
2015-03-25,38.504154205322266,39.05121559807738,38.48167027224141,38.95379284468098,15418200
2015-03-26,38.36175537109375,38.56409355801859,37.82218973135944,38.36175537109375,21839600
2015-03-27,38.21937561035156,38.586582633861866,38.00954465904985,38.586582633861866,16052400
2015-03-30,38.69899368286133,38.96877798786684,38.451693309094615,38.46668164367632,13289200
2015-03-31,38.609073638916016,38.79642356756444,38.33928928426499,38.41422811223114,13928900
2015-04-01,38.68400192260742,38.89383572943677,38.226867763911116,38.496652045025805,21577700
2015-04-02,38.863861083984375,39.13364537912879,38.66152286262606,38.728968936412166,13966900
2015-04-06,38.68400192260742,38.93879787046772,38.20438669339564,38.33927883395299,13250800
2015-04-07,38.609073638916016,38.91632740755011,38.51165087557358,38.84138857958396,11562700
2015-04-08,38.8863525390625,39.133655828557025,38.69150986206063,38.72148367939949,11773000
2015-04-09,39.06618881225586,39.12613927355628,38.73645126954278,38.766427929558816,13591400
2015-04-10,39.29102325439453,39.47837316392007,38.953792845502015,39.02873452455188,13032000
2015-04-13,39.4633674621582,39.68069394766864,39.27601763507642,39.3284753579608,11984400
2015-04-14,39.515838623046875,39.718176848151394,39.253549919429425,39.665719107427904,13259700
2015-04-15,39.875545501708984,40.00294489939284,39.53082242824089,39.66571456285573,19041100
2015-04-16,40.482574462890625,40.812309320690986,40.31770560462387,40.452597787072456,38345600
2015-04-17,39.770633697509766,40.54251431548334,39.680706552389644,40.100368468771826,23287000
2015-04-20,39.86805725097656,40.145334288338155,39.78562284179901,39.94299606364755,14730000
2015-04-21,39.3284912109375,40.06290248608519,39.15612964359257,39.98046807154356,19554400
2015-04-22,39.79311752319336,40.00295135463947,39.23106782451134,39.358467242753555,14873400
2015-04-23,39.88304901123047,40.01794117261151,39.58328801733201,39.72567291713079,13049600
2015-04-24,39.643245697021484,39.883053374884824,39.60577342463476,39.83808836326057,10150500
2015-04-27,39.568302154541016,40.01044807586968,39.553313818036145,39.628255500560506,15613000
2015-04-28,39.73316955566406,39.7931200407754,39.156131485461955,39.47087796444522,14134500
2015-04-29,40.2877197265625,40.46008414378008,39.42591193413709,39.455888603108185,22542400
2015-04-30,39.95799255371094,40.4451035116934,39.65823152437819,40.28023465968708,19420600
2015-05-01,40.2877197265625,40.3476730645047,39.95049220620136,40.197792578381694,13147600
2015-05-04,40.594970703125,40.66241677440208,40.27273153894816,40.35516308496921,15670100
2015-05-05,39.980472564697266,40.69240284633666,39.90553373872805,40.46009077059232,20669100
2015-05-06,39.58328628540039,40.3926392182741,39.23106756179062,40.137843242228584,19414800
2015-05-07,39.98835754394531,40.08586976520766,39.313257527441216,39.44827753074203,14954200
2015-05-08,40.520912170410156,40.58842213426491,39.98083245957213,40.16835981900862,17333500
2015-05-11,40.48342514038086,40.62594496634295,40.35590499172705,40.445917362785124,13896800
2015-05-12,40.3109016418457,40.490926390236126,39.928344043992944,40.2583913236699,13336900
2015-05-13,40.65594482421875,40.77596225736827,40.115864944325246,40.29589252477018,15810400
2015-05-14,40.95597839355469,41.05349343175364,40.753451342477916,40.82846114943667,14250800
2015-05-15,40.68594741821289,40.96348717893592,40.52842222188363,40.94848464302641,10377200
2015-05-18,41.008480072021484,41.18100775439238,40.633425367014055,40.64842789858719,11717600
2015-05-19,41.50356674194336,41.53356895211595,41.06850178786781,41.09850685948153,18207400
