Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2015-01-02,46.72092819213867,47.0723238469104,46.40691183766189,46.48915428412189,12600000
2015-01-05,45.27048110961914,46.56392310108532,45.03123188877428,46.39944104430178,20100600
2015-01-06,44.09666061401367,45.42000937763582,43.62563749596076,45.337766929015025,29074100
2015-01-07,44.16395950317383,44.777036081841985,43.86489650535107,44.777036081841985,23843200
2015-01-08,45.150840759277344,45.53214603287501,44.83682733591426,44.83682733591426,16971100
2015-01-09,44.36581802368164,45.449917616154686,44.3284358691982,45.39758202946277,15396200
2015-01-12,43.98452377319336,44.41068668917808,43.56583614868376,44.320966079019954,15455200
2015-01-13,43.992000579833984,44.63498404773222,43.64060197480211,44.30601416997431,21644700
2015-01-14,42.4742546081543,43.991992381817425,41.322865954718154,43.991992381817425,49602300
2015-01-15,41.113529205322266,42.32472890282502,40.74717718307473,41.66679203229683,42458100
2015-01-16,41.81631088256836,41.86864646248044,40.85183602063103,40.86678945090237,29368900
2015-01-20,41.65184020996094,42.16024560431321,41.43501967517737,41.89856761548903,23477700
2015-01-21,41.78641891479492,42.1826749759487,41.263060077072666,41.45745188780653,21842400
2015-01-22,43.05743408203125,43.16210528320056,41.838756128253564,42.15277258383783,31423500
2015-01-23,42.3770637512207,43.26677171516556,42.362110316691044,43.154625234307105,15458300
2015-01-26,42.44435119628906,42.60883611789978,42.018188310366654,42.175195088953664,12577700
2015-01-27,42.018184661865234,42.32472290147428,41.68921484720873,41.90603534285494,15220500
2015-01-28,40.93408203125,42.37705537942175,40.93408203125,42.33219508469513,24354400
2015-01-29,41.6219367980957,41.78642174878351,40.88176022415338,41.32287662202635,20393300
2015-01-30,40.65745544433594,41.49482774621896,40.64997730163364,41.11352517859948,26943700
2015-02-02,41.47239303588867,41.606971064346396,40.575207130195615,40.76959603125935,20308900
2015-02-03,42.40695571899414,42.45181315474477,41.77144780913523,41.80135466768566,18812500
2015-02-04,42.15276336669922,42.668643967692326,42.07799620215809,42.10790306797454,14934100
2015-02-05,42.44435119628906,42.646218276790606,42.21257724784449,42.51164022312291,11293900
2015-02-06,43.28171920776367,43.909749111410356,43.02004126960906,43.17704803250183,25214000
2015-02-09,43.22938919067383,43.43873156817339,42.7882728580312,42.93032620675219,14372400
2015-02-10,43.70787811279297,43.89479172379747,43.40133990482861,43.67797125053416,16367300
2015-02-11,43.640594482421875,43.857414982433,43.244338490872785,43.40882340151235,13061900
2015-02-12,44.537776947021484,44.6424481174231,43.775169038569786,44.059278538285234,23211300
2015-02-13,44.61254119873047,45.02375344205081,44.365816704813746,44.45553444332205,16479100
2015-02-17,44.934024810791016,44.96393166896729,44.35085533672848,44.380762194904754,15308800
2015-02-18,44.388267517089844,44.93405521375657,44.20135380513233,44.93405521375657,14278100
2015-02-19,44.28357696533203,44.47049059570339,43.96208529292725,44.22376608669254,11256500
