Price,Close,High,Low,Open,Volume
Ticker,TGT,TGT,TGT,TGT,TGT
Date,,,,,
2015-01-02,55.10551834106445,56.0638097619745,54.53493243911599,55.676104243012915,3710300
2015-01-05,54.117977142333984,55.237204436313654,54.04482050839819,54.988484159280624,3778200
2015-01-06,54.11064529418945,54.63734165787622,53.21087140938021,54.35204872439022,4659300
2015-01-07,56.158905029296875,56.29057912706466,54.77632979326837,54.77632979326837,6946900
2015-01-08,56.4222526550293,56.8757980052194,56.100386982343466,56.1881659925913,6344900
2015-01-09,55.910186767578125,56.59781874260304,55.83703573601644,56.5173509335654,3215300
2015-01-12,56.05648422241211,56.28325965699632,55.62488926493256,55.65415079136489,2842900
2015-01-13,55.55906677246094,56.809973698261715,55.20793950783429,56.24669890553339,4915600
2015-01-14,54.37401580810547,54.893395607538324,53.90584231055844,54.578841015648756,5634900
2015-01-15,55.35423278808594,56.69291852629172,54.9226377646686,56.54661645284396,17296000
2015-01-16,54.82023620605469,55.20062502204845,53.65711383862098,55.10552921331688,9973000
2015-01-20,53.89118957519531,54.9665271132662,53.320603676888226,54.82022504023692,9165600
2015-01-21,54.09599685668945,54.36666174163971,53.45957690987526,53.774131286036294,5034400
2015-01-22,55.4273796081543,55.55174250029694,53.86192410087711,54.47640504095685,4662800
2015-01-23,55.07625198364258,55.54442527657696,54.608078690708204,55.51516374813532,3954600
2015-01-26,55.047000885009766,55.21525331016164,54.70318483700976,55.10552395298146,3584800
2015-01-27,54.688560485839844,55.11283880409254,54.417895464328666,54.86412412032604,3228200
2015-01-28,54.32278060913086,55.62488780534233,54.22767925545485,55.11281947781135,4174300
2015-01-29,55.222557067871094,55.222557067871094,54.008234266929136,54.32278873856422,4545700
2015-01-30,53.84731674194336,54.959227352013066,53.80342722265858,54.69587907416823,7176900
2015-02-02,54.315467834472656,54.417880391311655,52.596393537742905,53.54005688095861,4926500
2015-02-03,55.50053405761719,55.51516203085257,54.22768272457643,54.659283279407234,4920000
2015-02-04,55.31034851074219,56.07844842161715,55.20061915475049,55.31034851074219,5670200
2015-02-05,55.55906677246094,55.880938082591406,55.46397096768023,55.55175557437052,3111300
2015-02-06,55.85897445678711,56.10768905345854,55.273755105342616,55.595626306743625,4101400
2015-02-09,55.14940643310547,56.01991881974587,54.94458130238214,55.63221331072439,3112700
2015-02-10,56.07112121582031,56.10769394030514,55.28107669687885,55.30302144778291,2810100
2015-02-11,55.902870178222656,56.10769529971101,55.51516468668171,55.902870178222656,2760400
2015-02-12,56.232059478759766,56.28326576030273,55.48590442648662,55.888243482228624,3751000
2015-02-13,56.06266403198242,56.48983191026565,55.745967214156806,56.335166806547655,2381100
2015-02-17,56.44563674926758,56.5634800251275,55.19358284817761,55.82697640823301,4037200
2015-02-18,56.96858215332031,56.99804298702918,56.290999835254716,56.526680885846204,4545200
2015-02-19,56.4751091003418,56.90228263394702,56.17313985859671,56.880188419980854,5613100
2015-02-20,56.615047454833984,56.615047454833984,55.97428714491234,56.37936647056589,4477600
2015-02-23,56.48247146606445,56.89491174664084,56.18786885747672,56.61504235897506,4264100
2015-02-24,56.67395782470703,56.71815186795825,56.02583658748836,56.585580976359275,4810000
2015-02-25,56.82124710083008,57.74187649125482,55.95217273150609,57.50619559206912,9410300
2015-02-26,56.63712692260742,57.005378715837544,56.17312606692855,56.81388621001648,5283000
2015-02-27,56.58556365966797,56.93172119396948,56.49718121929026,56.732862107888536,4741000
2015-03-02,57.21162796020508,57.565152334157794,56.51195144433692,56.58560071667895,6116300
